全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,スロープ,エレベータ,エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
131181,131181000001,荒川区,荒川区役所,アラカワクヤクショ,,,1302,,,131181,0006002,東京都荒川区荒川2丁目2-3,東京都,荒川区,荒川2丁目,2-3,,35.736149,139.783420,,,(03)3802-3111,,,,X（旧Twitter）: https://x.com/arakawakukoho; Facebook: https://www.facebook.com/city.arakawa,1160002,7000020131181,荒川区,月火水木金,8:30,17:15,休業日：土曜・日曜・祝日・休日・年末年始（12月29日から翌年1月3日）。　夜間・休日窓口：水曜日は一部窓口で午後7時まで開庁。第2・4日曜日は午前9時から正午に一部窓口を開庁。,区役所,可,有,無,有,有,有,有,無,有,有,有,無,有,有,有,有,有,可,有,有,,,,
131181,131181000002,荒川区,荒川区役所北庁舎,アラカワクヤクショキタチョウシャ,,,1302,,,131181,0006002,東京都荒川区荒川2丁目11-1,東京都,荒川区,荒川2丁目,11-1,,35.737045,139.783407,,,(03)3802-3111,,,,,1168502,7000020131181,荒川区,月火水木金,8:30,17:15,休業日：土曜・日曜・祝日・休日・年末年始（12月29日から翌年1月3日）。,区役所,可,有,無,有,有,無,有,無,有,有,有,無,有,有,有,無,無,可,無,有,,,,
131181,131181000003,荒川区,南千住区民事務所,ミナミセンジュクミンジムショ,,,1304,,,131181,0004007,東京都荒川区南千住7丁目1-1 アクレスティ南千住2階,東京都,荒川区,南千住7丁目,1-1,アクレスティ南千住2階,35.733113,139.798194,階数,2,(03)3803-1791,,,,,1160003,7000020131181,荒川区,月火水木金（日）,8:30,17:15,水曜：8：30～19：00、第2・4日曜：9：00～12：00,区民事務所,可,有,無,有,有,有,有,無,無,無,有,無,有,無,有,有,有,否,無,有,,,,
131181,131181000004,荒川区,町屋区民事務所,マチヤクミンジムショ,,,1304,,,131181,0002002,東京都荒川区荒川7丁目50-9 センターまちや4階,東京都,荒川区,町屋2丁目,8-9,,35.743942,139.779841,階数,4,(03)3892-2321,,,,,1160002,7000020131181,荒川区,月火水木金,8:30,17:15,,区民事務所,可,無,無,有,有,無,有,有,無,有,有,無,有,無,有,有,有,否,無,有,,,,トイレにおむつ交換台あり
131181,131181000005,荒川区,尾久区民事務所,オグクミンジムショ,,,1304,,,131181,0001003,東京都荒川区西尾久3丁目7-15,東京都,荒川区,西尾久3丁目,7-15,,35.750618,139.765294,,,(03)3894-6121,,,,,1160011,7000020131181,荒川区,月火水木金,8:30,17:15,,区民事務所,可,無,無,無,有,有,無,無,無,有,有,無,有,無,無,無,無,否,無,有,,,,
131181,131181000006,荒川区,日暮里区民事務所,ニッポリクミンジムショ,,,1304,,,131181,0005006,東京都荒川区東日暮里6丁目17-6 ふらっとにっぽり1階,東京都,荒川区,東日暮里6丁目,17-6,ふらっとにっぽり1階,35.728949,139.777372,階数,1,(03)3801-2108,,,,,1160014,7000020131181,荒川区,月火水木金,8:30,17:15,,区民事務所,可,無,無,有,有,有,有,無,有,有,有,無,有,有,有,有,有,否,無,有,,,,
131180,131181000007,荒川区,荒川区子ども家庭総合センター,アラカワクコドモカテイソウゴウセンター,,,1406,,,131181,0006001,東京都荒川区荒川1丁目50-17,東京都,荒川区,荒川1丁目,50-17,,35.733955,139.784770,,,(03)3802-3765,,,,,1160002,7000020131181,荒川区,月火水木金,8:30,17:15,祝日は利用不可。また、12/29～1/3は終日利用不可。,子育てに関する専門の相談機関,可,有,無,有,有,有,有,無,有,有,無,無,有,有,無,有,有,否,無,有,,,,
131181,131181000008,荒川区,荒川区保健所,アラカワクホケンジョ,,,1606,,,131181,0006002,東京都荒川区荒川2丁目11-1 1階,東京都,荒川区,荒川2丁目,11-1,1階,35.737045,139.783407,階数,1,(03)3802-3111,,,,,1168502,7000020131181,荒川区,月火水木金,8:30,17:15,休業日：土曜・日曜・祝日・休日・年末年始（12月29日から翌年1月3日）。,保健所,可,有,無,有,有,無,有,無,有,有,有,無,有,有,有,無,無,可,無,有,,,,
131181,131181000009,荒川区,荒川区がん予防・健康づくりセンター,アラカワクガンヨボウケンコウヅクリセンター,,,1606,,,131181,0006002,東京都荒川区荒川2丁目11-1,東京都,荒川区,荒川2丁目,11-1,,35.737045,139.783407,,,(03)3802-3111,,,,,1168502,7000020131181,荒川区,月火水木金,8:30,17:15,休業日：土曜・日曜・祝日・休日・年末年始（12月29日から翌年1月3日）。 不定期の土日に健診等を実施。,保健所,可,有,無,有,有,有,有,無,有,有,有,無,有,有,無,有,有,可,無,有,,,,
131181,131181000010,荒川区,荒川区役所分庁舎,アラカワクヤクショブンチョウシャ,,,1304,,,131181,0006002,東京都荒川区荒川2丁目25-3,東京都,荒川区,荒川2丁目,25-3,,35.737896,139.784181,,,(03)3802-3111,,,,,1160002,7000020131181,荒川区,月火水木金,8:30,17:15,12月29日から1月3日までは閉庁日,区役所,可,有,無,有,有,無,有,無,無,無,有,無,有,無,無,無,無,否,無,有,,,,
131181,131181000011,荒川区,あらかわエコセンター,アラカワエコセンター,,,1304,,,131181,0006001,東京都荒川区荒川1丁目53-20,東京都,荒川区,荒川1丁目,53-20,,35.733016,139.784481,,,(03)3802-31643111,,,,,1160002,7000020131181,荒川区,月火水木金,8:30,17:15,年末年始は除く,環境清掃施設,可,無,無,有,有,有,有,無,有,有,有,無,有,有,無,無,無,否,無,有,,,,オストメイト対応トイレ及び授乳室は、併設している心身障害者福祉センターに有
131181,131181000012,荒川区,清掃リサイクル事務所,セイソウリサイクルジムショ,,,1304,,,131181,0002005,東京都荒川区町屋5丁目19-1,東京都,荒川区,町屋5丁目,19-1,,35.752901,139.779214,,,(03)3892-4671,,,,,1160001,7000020131181,荒川区,月火水木金土,7:40,17:15,年末年始は除く,環境清掃施設,否,無,無,無,無,無,無,無,無,有,有,無,有,無,無,無,無,否,無,無,,,,
131181,131181000013,荒川区,あらかわリサイクルセンター,アラカワリサイクルセンター,,,2004,,,131181,0004003,東京都荒川区南千住3丁目28-69,東京都,荒川区,南千住3丁目,28-69,,35.728692,139.807878,,,(03)3805-9172,,,,,1160003,7000020131181,荒川区,月火水木金土,8:30,17:15,年末年始は除く,環境清掃施設,可,無,無,有,有,無,有,無,有,有,有,無,有,有,有,無,有,否,無,有,,,,
131181,131181000014,荒川区,南千住清掃車車庫,ミナミセンジュセイソウシャシャコ,,,1304,,,131181,0004004,東京都荒川区南千住4丁目1-8,東京都,荒川区,南千住4丁目,1-8,,,,,,,,,,,1160003,7000020131181,荒川区,月火水木金土,7:40,16:25,年末年始は除く,環境清掃施設,可,無,無,有,有,無,有,無,有,有,有,無,有,無,無,無,無,否,無,有,,,,
131181,131181000015,荒川区,あらかわ就労支援センター,アラカワシュウロウシエンセンター,,,1399,,,131181,0006007,東京都荒川区荒川7丁目50-9 センターまちや3階,東京都,荒川区,荒川7丁目,50-9,センターまちや3階,35.742455,139.780797,階数,3,(03)3800-8710,,,,,1160002,7000020131181,荒川区,月火水木金,10:00,18:00,利用可能時間は相談窓口により異なる。休業日：年末年始。,就労支援施設,可,無,無,有,有,無,有,有,無,無,有,無,有,無,有,有,有,否,無,有,,,,区の文化施設「ムーブ町屋」内にあり、ふるさとハローワークである「ＪＯＢコーナー町屋」、若者・女性・シニアを対象とする相談窓口などを設置・運営している。
131181,131181000016,荒川区,南千住区民事務所西部ひろば館,ミナミセンジュクミンジムショセイブヒロバカン,,,1309,,,131181,0004001,東京都荒川区南千住1丁目19-13,東京都,荒川区,南千住1丁目,19-13,,35.733246,139.790130,,,電話なし,,,,,1160003,7000020131181,荒川区,月火水木金土日,9:00,21:45,,ひろば館,否,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無,無,否,無,有,,,,
131181,131181000017,荒川区,石浜ふれあい館,イシハマフレアイカン,,,1403,,,131181,0004003,東京都荒川区南千住3丁目28-2,東京都,荒川区,南千住3丁目,28-2,,35.731295,139.806409,,,(03)3805-5301,,,,,1160003,8010001033429,株式会社　日本デイケアセンター,月火水木金土日,8:30,22:00,12月29日から1月3日までは休館日,ふれあい館,可,有,無,有,有,有,有,無,有,無,有,無,有,有,有,有,有,可,無,有,,,,
131181,131181000018,荒川区,南千住ふれあい館,ミナミセンジュフレアイカン,,,1403,,,131181,0004006,東京都荒川区南千住6丁目36-13,東京都,荒川区,南千住6丁目,36-13,,35.738171,139.791033,,,(03)3807-1131,,,,,1160003,5011001011146,株式会社　ポピンズエデュケア,月火水木金土日,8:30,22:00,12月29日から1月3日までは休館日,ふれあい館,可,有,無,有,有,有,有,無,有,無,有,無,有,有,有,有,有,可,無,有,,,,
131181,131181000019,荒川区,南千住駅前ふれあい館,ミナミセンジュエキマエフレアイカン,,,1403,,,131181,0004007,東京都荒川区南千住7丁目1-1 208,東京都,荒川区,南千住7丁目,1-1,208,35.733113,139.798194,階数,2,(03)3803-0571,,,,,1160003,8010001033429,株式会社　日本デイケアセンター,月火水木金土日,8:30,22:00,12月29日から1月3日までは休館日,ふれあい館,可,有,無,有,有,有,有,無,無,無,有,無,有,有,有,有,有,可,無,有,,,,
131181,131181000020,荒川区,汐入ふれあい館,シオイリフレアイカン,,,1403,,,131181,0004008,東京都荒川区南千住8丁目2-2,東京都,荒川区,南千住8丁目,2-2,,35.735060,139.807398,,,(03)3806-9928,,,,,1160003,1010905000786,社会福祉法人　雲柱社,月火水木金土日,8:30,22:00,12月29日から1月3日までは休館日,ふれあい館,可,有,無,有,有,有,有,無,有,無,有,無,有,無,有,無,有,可,無,有,,,,
131181,131181000021,荒川区,峡田ふれあい館,ハケタフレアイカン,,,1403,,,131181,0006003,東京都荒川区荒川3丁目3-10,東京都,荒川区,荒川3丁目,3-10,,35.733807,139.784169,,,(03)3807-2886,,,,,1160002,3013305000743,労働者協同組合 　ワーカーズコープ・センター事業団,月火水木金土日,8:30,22:00,12月29日から1月3日までは休館日,ふれあい館,可,有,無,有,有,有,有,無,有,無,有,無,有,有,有,有,有,可,無,有,,,,
131181,131181000022,荒川区,三河島ひろば館,ミカワシマヒロバカン,,,1305,,,131181,0006003,東京都荒川区荒川3丁目36-4,東京都,荒川区,荒川3丁目,36-4,,35.735186,139.780833,,,(03)3806-6179,,,,,1160002,7000020131181,荒川区,月火水木金土日,8:30,22:00,12月29日から1月3日までは休館日,ひろば館,否,無,無,無,有,有,無,無,無,無,有,無,有,無,無,無,無,可,無,無,,,,
131181,131181000023,荒川区,宮地ひろば館,ミヤチヒロバカン,,,1309,,,131181,0006005,東京都荒川区荒川5丁目12-10,東京都,荒川区,荒川5丁目,12-10,,35.739558,139.778195,,,(03)3805-5741,,,,,1160002,7000020131181,荒川区,月火水木金土日,9:00,21:45,休業日：年末年始（12月29日から翌年1月3日）,ひろば館,可,無,無,有,有,有,有,無,有,無,有,無,有,無,無,有,有,否,無,有,,,,
131181,131181000024,荒川区,花の木ひろば館,ハナノキヒロバカン,,,1403,,,131181,0006005,東京都荒川区荒川5丁目50-5,東京都,荒川区,荒川5丁目,50-5,,35.740194,139.774792,,,(03)3895-6923,,,,,1160002,7000020131181,荒川区,月火水木金土,9:30,18:00,土曜日は17:00まで,ひろば館,否,無,無,無,無,無,無,無,無,無,無,無,有,無,無,有,有,否,無,有,,,,
131181,131181000025,荒川区,荒川六丁目ひろば館,アラカワロクチョウメヒロバカン,,,1305,,,131181,0006006,東京都荒川区荒川6丁目33-4,東京都,荒川区,荒川6丁目,33-4,,35.741692,139.777019,,,(03)3895-0879,,,,,1160002,7000020131181,荒川区,月火水木金土日,8:30,22:00,12月29日から1月3日までは休館日,ひろば館,否,無,無,無,有,有,無,無,無,無,有,無,有,無,無,無,無,可,無,無,,,,
131181,131181000026,荒川区,荒川山吹ふれあい館,アラカワヤマブキフレアイカン,,,1403,,,131181,0006007,東京都荒川区荒川7丁目6-8,東京都,荒川区,荒川7丁目,6-8,,35.742544,139.783981,,,(03)3805-2860,,,,,1160002,5011505000925,特定非営利活動法人　荒川区高年者クラブ連合会,月火水木金土日,8:30,22:00,12月29日から1月3日までは休館日,ふれあい館,可,有,無,有,有,有,有,無,有,無,有,無,有,有,有,無,有,可,無,有,,,,
131181,131181000027,荒川区,町屋ふれあい館,マチヤフレアイカン,,,1403,,,131181,0002001,東京都荒川区町屋1丁目35-8,東京都,荒川区,町屋1丁目,35-8,,35.744085,139.785794,,,(03)3800-2011,,,,,1160001,1010905000786,社会福祉法人　雲柱社,月火水木金土日,8:30,22:00,12月29日から1月3日までは休館日,ふれあい館,可,有,無,有,有,有,有,無,有,無,有,無,有,有,有,有,有,可,無,有,,,,
131181,131181000028,荒川区,町屋二丁目ひろば館,マチヤニチョウメヒロバカン,,,1305,,,131181,0002002,東京都荒川区町屋2丁目8-13,東京都,荒川区,町屋2丁目,8-13,,35.743905,139.780224,,,(03)3895-2555,,,,,1160001,7000020131181,荒川区,月火水木金土日,8:30,22:00,12月29日から1月3日までは休館日,ひろば館,否,無,無,無,有,有,無,無,無,無,有,無,有,無,無,無,無,可,無,無,,,,
131181,131181000029,荒川区,荒木田ふれあい館,アラキダフレアイカン,,,1403,,,131181,0002006,東京都荒川区町屋6丁目13-2,東京都,荒川区,町屋6丁目,13-2,,35.750412,139.783393,,,(03)3800-1981,,,,,1160001,1011501007291,株式会社　大起エンゼルヘルプ,月火水木金土日,8:30,22:00,12月29日から1月3日までは休館日,ふれあい館,可,有,無,有,有,有,有,無,有,無,有,無,有,有,有,有,有,可,無,有,,,,
131181,131181000030,荒川区,東尾久小沼ひろば館,ヒガシオグコヌマヒロバカン,,,1305,,,131181,0003001,東京都荒川区東尾久1丁目21-23,東京都,荒川区,東尾久1丁目,21-23,,35.739419,139.771264,,,(03)3895-4335,,,,,1160012,7000020131181,荒川区,月火水木金土日,8:30,22:00,12月29日から1月3日までは休館日,ひろば館,否,無,無,無,有,有,無,無,無,無,有,無,有,無,無,無,無,可,無,無,,,,
131181,131181000031,荒川区,東尾久本町通りふれあい館,ヒガシオグホンチョウドオリフレアイカン,,,1403,,,131181,0003002,東京都荒川区東尾久2丁目37-14,東京都,荒川区,東尾久2丁目,37-14,,35.744696,139.771386,,,(03)3893-8001,,,,,1160012,3013305000743,労働者協同組合 　ワーカーズコープ・センター事業団,月火水木金土日,8:30,22:00,12月29日から1月3日までは休館日,ふれあい館,可,有,無,有,有,有,有,無,有,無,有,無,有,有,有,有,有,可,無,有,,,,
131181,131181000032,荒川区,熊野前ひろば館,クマノマエヒロバカン,,,1403,,,131181,0003005,東京都荒川区東尾久5丁目9-3,東京都,荒川区,東尾久5丁目,9-3,,35.748248,139.768918,,,(03)3893-2362,,,,,1160012,7000020131181,荒川区,月火水木金土,9:30,18:00,土曜日は17:00まで,ひろば館,可,無,無,有,有,有,有,無,無,無,無,無,有,無,無,有,有,否,無,有,,,,
131181,131181000033,荒川区,宮の前ひろば館,ミヤノマエヒロバカン,,,1309,,,131181,0003005,東京都荒川区東尾久5丁目45-11,東京都,荒川区,東尾久5丁目,45-11,,35.748684,139.766375,,,電話なし,,,,,1160012,7000020131181,荒川区,月火水木金土日,9:00,21:45,,ひろば館,否,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,可,無,無,,,,
131181,131181000034,荒川区,尾久ふれあい館,オグフレアイカン,,,1403,,,131181,0001002,東京都荒川区西尾久2丁目25-13,東京都,荒川区,西尾久2丁目,25-13,,35.750182,139.763382,,,(03)3809-2511,,,,,1160011,3013305000743,労働者協同組合 　ワーカーズコープ・センター事業団,月火水木金土日,8:30,22:00,12月29日から1月3日までは休館日,ふれあい館,可,有,無,有,有,有,有,無,有,無,有,無,有,有,有,有,有,可,無,有,,,,
131181,131181000035,荒川区,尾久区民事務所ひろば館,オグクミンジムショヒロバカン,,,1309,,,131181,0001003,東京都荒川区西尾久3丁目7-15,東京都,荒川区,西尾久3丁目,7-15,,,,,,(03)3894-6121,,,,,1160011,7000020131181,荒川区,月火水木金土日,9:00,21:45,,ひろば館,否,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,可,無,無,,,,
131181,131181000036,荒川区,西尾久みどりひろば館,ニシオグミドリヒロバカン,,,1305,,,131181,0001004,東京都荒川区西尾久4丁目6-4,東京都,荒川区,西尾久4丁目,6-4,,35.744159,139.761297,,,(03)3800-2138,,,,,1160011,7000020131181,荒川区,月火水木金土日,8:30,22:00,12月29日から1月3日までは休館日,ひろば館,否,無,無,無,有,有,無,無,無,無,有,無,有,無,無,無,無,可,無,無,,,,
131181,131181000037,荒川区,西尾久ふれあい館,ニシオグフレアイカン,,,1403,,,131181,0001008,東京都荒川区西尾久8丁目33-31,東京都,荒川区,西尾久8丁目,33-31,,35.751620,139.753376,,,(03)3810-6219,,,,,1160011,8010001033429,株式会社　日本デイケアセンター,月火水木金土日,8:30,22:00,12月29日から1月3日までは休館日,ふれあい館,可,有,無,有,有,有,有,無,有,無,有,無,有,有,有,有,有,可,無,有,,,,
131181,131181000038,荒川区,東日暮里ふれあい館,ヒガシニッポリフレアイカン,,,1403,,,131181,0005001,東京都荒川区東日暮里1丁目17-13,東京都,荒川区,東日暮里1丁目,17-13,,35.729626,139.790208,,,(03)3807-6383,,,,,1160014,8011505000633,学校法人　道灌山学園,月火水木金土日,8:30,22:00,12月29日から1月3日までは休館日,ふれあい館,可,有,無,有,有,有,有,無,有,無,有,無,有,無,有,有,有,可,無,有,,,,
131181,131181000039,荒川区,夕やけこやけふれあい館,ユウヤケコヤケフレアイカン,,,1403,,,131181,0005003,東京都荒川区東日暮里3丁目11-19,東京都,荒川区,東日暮里3丁目,11-19,,35.729935,139.781469,,,(03)3801-0715,,,,,1160014,3011505000654,社会福祉法人　教信精舎,月火水木金土日,8:30,22:00,12月29日から1月3日までは休館日,ふれあい館,可,有,無,有,有,有,有,無,有,無,有,無,有,有,有,有,有,可,無,有,,,,
131181,131181000040,荒川区,ひぐらしふれあい館,ヒグラシフレアイカン,,,1403,,,131181,0005006,東京都荒川区東日暮里6丁目28-15,東京都,荒川区,東日暮里6丁目,28-15,,35.733038,139.776000,,,(03)3801-7091,,,,,1160014,1021001008236,株式会社　マミー・インターナショナル,月火水木金土日,8:30,22:00,12月29日から1月3日までは休館日,ふれあい館,可,有,無,有,有,有,有,無,有,無,有,無,有,有,有,有,有,可,無,有,,,,
131181,131181000041,荒川区,諏訪台ひろば館,スワダイヒロバカン,,,1305,,,131181,0007003,東京都荒川区西日暮里3丁目3-12,東京都,荒川区,西日暮里3丁目,3-12,,35.729497,139.767873,,,(03)3823-6097,,,,,1160013,7000020131181,荒川区,月火水木金土日,8:30,22:00,12月29日から1月3日までは休館日,ひろば館,否,無,無,無,有,有,無,無,無,無,有,無,有,無,無,無,無,可,無,無,,,,
131181,131181000042,荒川区,西日暮里ふれあい館,ニシニッポリフレアイカン,,,1403,,,131181,0007006,東京都荒川区西日暮里6丁目24-4,東京都,荒川区,西日暮里6丁目,24-4,,35.736272,139.770795,,,(03)3819-6945,,,,,1160013,8011505000633,学校法人　道灌山学園,月火水木金土日,8:30,22:00,12月29日から1月3日までは休館日,ふれあい館,可,有,無,有,有,有,有,無,有,無,有,無,有,有,有,無,有,可,無,有,,,,
131181,131181000043,荒川区,荒川区民会館,アラカワクミンカイカン,,サンパール荒川,1308,,,131181,0006001,東京都荒川区荒川1丁目1-1,東京都,荒川区,荒川1丁目,1-1,,35.734980,139.785503,,,(03)3806-6531,,,,,1160002,9010401130700,(株)ケイミックスパブリックビジネス,日～土,9:00,22:00,12/29～1/3は休館　工事等による臨時休館,文化・生涯学習施設,可,有,無,有,有,有,有,無,有,無,有,無,有,有,有,有,有,可,無,有,,,,
131181,131181000044,荒川区,町屋文化センター,マチヤブンカセンター,,,1511,,,131181,0006007,東京都荒川区荒川7丁目20-1,東京都,荒川区,荒川7丁目,20-1,,35.741814,139.782260,,,(03)3802-7111,,,,,1160002,7011505001608,公益財団法人 荒川区芸術文化振興財団,月火水木金土日,9:00,22:00,受付は20：00まで。年末年始（12月29日から同月31日まで・1月1日から同月3日まで）と保守点検日は終日利用不可。,文化・生涯学習施設,可,有,無,有,有,無,有,無,有,無,無,無,有,無,無,有,有,可,無,有,,,,
131181,131181000045,荒川区,荒川さつき会館,アラカワサツキカイカン,,荒川さつき会館,1309,,,131181,0006008,東京都荒川区荒川8丁目16-13,東京都,荒川区,荒川8丁目,16-13,,,,階数,2,(03)3802-2050,,,,,1160002,7000020131181,荒川区,年４回定期清掃、12/29～1/3を除く,9:00,22:00,,文化・生涯学習施設,可,有,無,有,有,有,有,無,無,無,有,無,有,無,無,有,有,可,無,有,,,,
131181,131181000046,荒川区,男女平等推進センター,ダンジョビョウドウスイシンセンター,,アクト21,1399,,,131181,0003005,東京都荒川区東尾久5丁目9-3,東京都,荒川区,東尾久5丁目,9-3,,35.748248,139.768918,,,(03)3809-2890,,,,,1160012,7000020131181,荒川区,定期清掃日(年4回)、年末年始を除き、年中無休,9:00,22:00,,文化・生涯学習施設,可,有,無,有,有,無,有,無,有,無,有,無,有,無,無,有,有,可,無,有,,,,
131181,131181000047,荒川区,荒川区ムーブ町屋,アラカワクムーブマチヤ,,,1308,,,131181,0006007,"東京都荒川区荒川7丁目50-9 センターまちや3階,4階",東京都,荒川区,荒川7丁目,50-9,"センターまちや3階,4階",35.742455,139.780797,階数,3; 4,(03)3819-7761,,,,,1160002,9120001079690,(株）コングレ,日～土,9:00,22:00,12/29～1/3は休館　工事等による臨時休館,文化・生涯学習施設,可,有,無,有,有,無,有,有,無,無,有,無,有,無,有,有,有,可,無,有,,,,オストメイトは複合施設内に有、飲食は会議室、スタジオ控室では、軽食程度であれば可
131181,131181000048,荒川区,日暮里サニーホール,ニッポリサニーホール,,,1308,,,131181,0005005,"東京都荒川区東日暮里5丁目50-5 アートホテルヨ暮里ラングウッド4階,5階",東京都,荒川区,東日暮里5丁目,50-5,"アートホテルヨ暮里ラングウッド 4階,5階",35.728002,139.772888,階数,4; 5,(03)3807-3211,,,,,1160014,9120001079690,(株）コングレ,日～土,9:00,22:00,12/29～1/3は休館　工事等による臨時休館,文化・生涯学習施設,可,有,無,有,有,無,有,有,無,無,有,無,有,無,無,有,有,可,無,有,,,,オストメイトは複合施設内に有、飲食は会議室での軽食、お茶程度は可。飲食を目的としての利用は不可）
131181,131181000049,荒川区,ゆいの森あらかわ,ユイノモリアラカワ,Arakawa City Public Library Chuo Library,中央図書館,1512,ISIL,JP-1001063,131181,0006002,東京都荒川区荒川2丁目50-1,東京都,荒川区,荒川2丁目,50-1,,35.739459,139.783800,,,(03)3891-4349,,,,X（旧Twitter）: https://x.com/arakawalib_yui,1160002,7000020131181,荒川区,全日（第3木曜日等休館日除く）,9:00,20:30,,図書館,可,有,無,有,有,有,有,有,有,有,有,無,有,有,有,有,有,可,有,有,,,,飲食：一部の座席で可
131181,131181000050,荒川区,吉村昭記念文学館,ヨシムラアキラキネンブンガクカン,,,1599,,,131181,0006002,"東京都荒川区荒川2丁目50-1 2階,3階",東京都,荒川区,荒川2丁目,50-1,"2階,3階",35.739459,139.783800,階数,2; 3,,,,,,1160002,7000020131181,荒川区,,,,,ゆいの森あらかわ内の文学館,,,,有,有,有,有,有,有,,,,,,有,有,有,,,,,,,ゆいの森あらかわの施設情報に準ずる
131181,131181000051,荒川区,ゆいの森子どもひろば,ユイノモリコドモヒロバ,,,1599,,,131181,0006002,東京都荒川区荒川2丁目50-1,東京都,荒川区,荒川2丁目,50-1,,35.739459,139.783800,階数,1,,,,,,1160002,7000020131181,荒川区,,,,,ゆいの森あらかわ内の子どもひろば,,,,有,有,有,有,有,有,,,,,,有,有,有,,,,,,,ゆいの森あらかわの施設情報に準ずる
