全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考,フリーWi-Fi,更衣室,シャワー室,飲食物を購入できる場所,トレーニング室,陸上競技,水泳,サッカー,スキー,テニス,ボート,ホッケー,ボクシング,バレーボール,体操,バスケットボール,スケート,レスリング,セーリング,ウエイトリフティング,ハンドボール,自転車競技,ソフトテニス,卓球,軟式野球,相撲,馬術,フェンシング,柔道,ソフトボール,バドミントン,弓道,ライフル射撃,剣道,近代五種,ラグビーフットボール,山岳・スポーツクライミング,カヌー,アーチェリー,空手道,アイスホッケー,銃剣道,クレー射撃,なぎなた,ボウリング,"ボブスレー・リュージュ・スケル,トン",野球,綱引,少林寺拳法,ゲートボール,武術太極拳,ゴルフ,カーリング,パワーリフティング,オリエンテーリング,グラウンド・ゴルフ,トライアスロン,バウンドテニス,エアロビック,バイアスロン,スポーツチャンバラ,ドッジボール,チアリーディング,ペタンク・ブール,ダンススポーツ,拳法競技
131237,,東京都江戸川区,総合体育館,ソウゴウタイイクカン,sougoutaiikukann,,,,,,,東京都江戸川区松本1-35-1,東京都,江戸川区,松本,1丁目35番1号,,,,,,(03)3653-7441,,,,,1330043,,美津濃株式会社,月火水木金土日,09:00,22:00,,,可,無,無,有,有,無,無,有,無,有,有,無,有,有,有,無,無,https://www.edogawa-sotai.com/,,,飲食可否は場所による,無,有,有,有,有,無,有,無,無,無,無,無,無,有,有,有,無,無,無,無,有,無,無,有,無,有,無,有,有,無,有,有,有,有,無,無,無,無,有,有,無,有,無,有,無,"無",無,有,有,無,有,無,無,無,無,無,無,無,有,無,有,有,有,無,有,有
131237,,東京都江戸川区,スポーツランド,スポーツランド,sportsland,,,,,,,東京都江戸川区東篠崎1-8-1,東京都,江戸川区,東篠崎,1丁目8番1号,,,,,,(03)3677-1711,,,,,1330063,,株式会社加藤商会,月火水木金土日,08:30,22:20,年末年始は短縮,,可,有,無,有,有,有,無,有,無,有,有,無,有,有,有,無,有,https://www.edogawa-sportsland.com/,,,飲食可否は場所による,無,有,有,有,有,無,有,無,無,有,無,無,無,無,有,無,有,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,"無",無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
131237,,東京都江戸川区,スポーツセンター,スポーツセンター,sportscenter,,1110,,,,,東京都江戸川区西葛西4-2-20,東京都,江戸川区,西葛西,4丁目2番20号,,139.8450905,35.6507608,,,(03)3675-3811,,,,,1340088,,三菱電機ビルソリューションズ,月火水木金土日,09:00,22:30,日・祝日は21：30まで,,可,有,無,有,有,有,有,有,無,有,有,有,有,有,有,無,有,https://www.edogawa-spocen.com/,,,飲食可否は場所による,無,有,有,有,有,有,有,無,無,無,無,無,無,有,有,有,無,無,無,無,有,無,有,有,無,有,無,有,有,無,有,無,無,有,無,無,無,無,無,有,無,有,無,有,無,"無",無,有,有,無,有,無,無,無,無,無,無,無,有,無,有,有,有,無,有,有
131237,,東京都江戸川区,陸上競技場,リクジョウキョウギジョウ,rikujoukyougijou,スピアーズえどりくフィールド,,,,,,東京都江戸川区清新町2-1-1,東京都,江戸川区,清新町,2丁目1番1号,,,,,,(03)3878-3388,,,,,1340087,5010000000000,株式会社オーエンス,月火水木金土日,09:00,21:00,,,可,有,無,有,有,有,無,有,無,有,有,有,有,有,有,無,有,https://www.edogawa-3field.jp/athletics/,,,飲食可否は場所による,無,有,有,無,無,有,無,有,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,"無",無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
131237,,東京都江戸川区,江戸川区球場,エドガワクキュウジョウ,edogawacity baseball stadium,,1103,,,131237,,東京都江戸川区西葛西7-2-1,東京都,江戸川区,西葛西,7丁目2番1号,,35.676097,139.744879,階数,3,(03)3878-3741,,,,,1340088,501001039404,株式会社オーエンス,月火水木金土日,08:00,21:00,,,可,有,無,有,有,無,無,有,有,有,有,無,有,有,有,無,有,https://www.edogawa-3field.jp/baseball/,,,飲食可否は場所による、スロープのみ有,無,有,有,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,"無",有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
131237,,東京都江戸川区,臨海球技場,リンカイキュウギジョウ,rinnkaikyuugijou,,,,,,,東京都江戸川区臨海町1-1-2,東京都,江戸川区,臨海町,1丁目1番2号,,,,,,(03)3680-9251,,,,,1340086,,株式会社オーエンス,月火水木金土日,08:00,21:00,,,可,有,無,有,有,無,無,有,無,有,有,無,有,有,有,無,有,https://www.edogawa-3field.jp/ballgame/,,,飲食可否は場所による,無,有,有,有,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,有,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,"無",有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
131237,,東京都江戸川区,水辺のスポーツガーデン,ミズベノスポーツガーデン,mizubenosportsgarden,,,,,,,東京都江戸川区東篠崎2-3先,東京都,江戸川区,東篠崎,2丁目3番先号,,,,,,(03)5636-6550,,,,,1330063,,株式会社オーエンス,月火水木金土日,06:00,22:00,4月～10月は6時から、11月・3月は7時から、12～2月は8時から,,可,有,無,有,有,無,無,有,無,有,有,有,有,有,有,無,有,https://www.edo-mizube.jp/,,,飲食可否は場所による,無,有,有,有,無,無,無,有,無,有,無,有,無,無,無,無,有,無,無,無,無,無,有,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,"無",有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
131237,,東京都江戸川区,新左近川親水公園カヌー場,シンサコンガワシンスイコウエンカヌージョウ,shinnsakonngawashinnsuikouenncanoejou,,,,,,,東京都江戸川区臨海町2丁目地先,東京都,江戸川区,臨海町,2丁目地先号,,,,,,(03)5605-1137,,,,,1340086,,株式会社協栄,月火水木金土日,09:00,18:00,3月・9月は17時まで、10月～2月は16時まで,,可,無,無,有,有,無,無,有,無,有,有,無,無,有,有,無,有,https://www.city.edogawa.tokyo.jp/e028/kuseijoho/gaiyo/shisetsuguide/bunya/sportsshisetsu/shinsakongawashinsuiparkcanoearea.html,,,飲食可否は場所による,無,有,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,"無",無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
131237,,東京都江戸川区,葛西ラグビースポーツパーク,カサイラグビースポーツパーク,kasairugbysportspark,,,,,,,東京都江戸川区臨海町３丁目地先,東京都,江戸川区,臨海町,3丁目地先号,,,,,,(03)5605-0970,,,,,1340086,,株式会社協栄,月火水木金土日,09:00,21:00,,,可,無,無,無,無,無,無,有,無,有,有,無,無,有,無,無,無,https://www.city.edogawa.tokyo.jp/e028/kuseijoho/gaiyo/shisetsuguide/bunya/sportsshisetsu/kasairugbysportspark.html,,,,無,有,有,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,"無",無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
131237,,東京都江戸川区,京成鉄橋上流野球場,ケイセイテッキョウジョウリュウヤキュウジョウ,,,,,,,,東京都江戸川区北小岩四丁目,東京都,江戸川区,北小岩四丁目,地先,,,,,,(03)5662-1636,,,,,1320021,,江戸川区,月火水木金土日,06:00,18:00,月ごとに変更有,,,無,無,有,無,無,無,,無,,無,無,無,無,,無,,https://www.city.edogawa.tokyo.jp/e028/kuseijoho/gaiyo/shisetsuguide/bunya/sportsshisetsu/ground/edogawaground.html,,,,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,"無",無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
131237,,東京都江戸川区,市川橋上流野球場,イチカワバシジョウリュウヤキュウジョウ,,,,,,,,東京都江戸川区北小岩三丁目,東京都,江戸川区,北小岩三丁目,地先,,,,,,(03)5662-1636,,,,,1320021,,江戸川区,月火水木金土日,06:00,18:00,月ごとに変更有,,,無,無,無,無,無,無,,無,,無,無,無,無,,無,,https://www.city.edogawa.tokyo.jp/e028/kuseijoho/gaiyo/shisetsuguide/bunya/sportsshisetsu/ground/edogawaground.html,,,,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,"無",無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
131237,,東京都江戸川区,北小岩少年野球場,キタコイワショウネンヤキュウジョウ,,,,,,,,東京都江戸川区北小岩一丁目,東京都,江戸川区,北小岩一丁目,地先,,,,,,(03)5662-1636,,,,,1320021,,江戸川区,月火水木金土日,06:00,18:00,月ごとに変更有,,,無,無,無,無,無,無,,無,,無,無,無,無,,無,,https://www.city.edogawa.tokyo.jp/e028/kuseijoho/gaiyo/shisetsuguide/bunya/sportsshisetsu/ground/edogawaground.html,,,,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,"無",無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
131237,,東京都江戸川区,江戸川病院前野球場,エドガワビョウインマエヤキュウジョウ,,,,,,,,東京都江戸川区東小岩三丁目,東京都,江戸川区,東小岩三丁目,地先,,,,,,(03)5662-1636,,,,,1320021,,江戸川区,月火水木金土日,06:00,18:00,月ごとに変更有,,,無,無,無,無,無,無,,無,,無,無,無,無,,無,,https://www.city.edogawa.tokyo.jp/e028/kuseijoho/gaiyo/shisetsuguide/bunya/sportsshisetsu/ground/edogawaground.html,,,,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,"無",無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
131237,,東京都江戸川区,東小岩少年野球場,ヒガシコイワショウネンヤキュウジョウ,,,,,,,,東京都江戸川区東小岩三丁目,東京都,江戸川区,東小岩三丁目,地先,,,,,,(03)5662-1636,,,,,1320021,,江戸川区,月火水木金土日,06:00,18:00,月ごとに変更有,,,無,無,無,無,無,無,,無,,無,無,無,無,,無,,https://www.city.edogawa.tokyo.jp/e028/kuseijoho/gaiyo/shisetsuguide/bunya/sportsshisetsu/ground/edogawaground.html,,,,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,"無",無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
131237,,東京都江戸川区,ポニーランド前野球場,ポニーランドマエヤキュウジョウ,,,,,,,,東京都江戸川区篠崎町三丁目,東京都,江戸川区,篠崎町三丁目,地先,,,,,,(03)5662-1636,,,,,1320021,,江戸川区,月火水木金土日,06:00,18:00,月ごとに変更有,,,無,無,有,無,無,無,,無,,無,無,無,無,,無,,https://www.city.edogawa.tokyo.jp/e028/kuseijoho/gaiyo/shisetsuguide/bunya/sportsshisetsu/ground/edogawaground.html,,,,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,"無",有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
131237,,東京都江戸川区,江戸川ソフトボール場,エドガワソフトボールジョウ,,,,,,,,東京都江戸川区北小岩三丁目,東京都,江戸川区,北小岩三丁目,地先,,,,,,(03)5662-1636,,,,,1320021,,江戸川区,月火水木金土日,06:00,18:00,月ごとに変更有,,,無,無,無,無,無,無,,無,,無,無,無,無,,無,,https://www.city.edogawa.tokyo.jp/e028/kuseijoho/gaiyo/shisetsuguide/bunya/sportsshisetsu/ground/edogawaground.html,,,,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,"無",無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
131237,,東京都江戸川区,江戸川サッカー場,エドガワサッカージョウ,,,,,,,,東京都江戸川区上篠崎町一丁目,東京都,江戸川区,上篠崎町一丁目,地先,,,,,,(03)5662-1636,,,,,1320021,,江戸川区,月火水木金土日,06:00,18:00,月ごとに変更有,,,無,無,無,無,無,無,,無,,無,無,無,無,,無,,https://www.city.edogawa.tokyo.jp/e028/kuseijoho/gaiyo/shisetsuguide/bunya/sportsshisetsu/ground/edogawaground.html,,,,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,"無",無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
131237,,東京都江戸川区,江戸川少年サッカー場,エドガワショウネンサッカージョウ,,,,,,,,東京都江戸川区上篠崎町一丁目,東京都,江戸川区,上篠崎町一丁目,地先,,,,,,(03)5662-1636,,,,,1320021,,江戸川区,月火水木金土日,06:00,18:00,月ごとに変更有,,,無,無,無,無,無,無,,無,,無,無,無,無,,無,,https://www.city.edogawa.tokyo.jp/e028/kuseijoho/gaiyo/shisetsuguide/bunya/sportsshisetsu/ground/edogawaground.html,,,,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,"無",無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
131237,,東京都江戸川区,江戸川ラグビー場,エドガワラグビージョウ,,,,,,,,東京都江戸川区東小岩二丁目,東京都,江戸川区,東小岩二丁目,地先,,,,,,(03)5662-1636,,,,,1320021,,江戸川区,月火水木金土日,06:00,18:00,月ごとに変更有,,,無,無,無,無,無,無,,無,,無,無,無,無,,無,,https://www.city.edogawa.tokyo.jp/e028/kuseijoho/gaiyo/shisetsuguide/bunya/sportsshisetsu/ground/edogawaground.html,,,,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,"無",無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
131237,,東京都江戸川区,江戸川運動場兼ラグビー場,エドガワウンドウジョウケンラグビージョウ,,,,,,,,東京都江戸川区北小岩七丁目,東京都,江戸川区,北小岩七丁目,地先,,,,,,(03)5662-1636,,,,,1320021,,江戸川区,月火水木金土日,06:00,18:00,月ごとに変更有,,,無,無,無,無,無,無,,無,,無,無,無,無,,無,,https://www.city.edogawa.tokyo.jp/e028/kuseijoho/gaiyo/shisetsuguide/bunya/sportsshisetsu/ground/edogawaground.html,,,,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,"無",無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
131237,,東京都江戸川区,スポーツ広場,スポーツヒロバ,,,,,,,,東京都江戸川区東小岩二丁目,東京都,江戸川区,東小岩二丁目,地先,,,,,,(03)5662-1636,,,,,1320021,,江戸川区,月火水木金土日,06:00,18:00,月ごとに変更有,,,無,無,無,無,無,無,,無,,無,無,無,無,,無,,https://www.city.edogawa.tokyo.jp/e028/kuseijoho/gaiyo/shisetsuguide/bunya/sportsshisetsu/ground/edogawaground.html,,,,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,"無",無,無,無,有,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
131237,,東京都江戸川区,平井少年野球場,ヒライショウネンヤキュウジョウ,,,,,,,,東京都江戸川区平井七丁目,東京都,江戸川区,平井七丁目,地先,,,,,,(03)5662-1636,,,,,1320021,,江戸川区,月火水木金土日,06:00,18:00,月ごとに変更有,,,無,無,無,無,無,無,,無,,無,無,無,無,,無,,https://www.city.edogawa.tokyo.jp/e028/kuseijoho/gaiyo/shisetsuguide/bunya/sportsshisetsu/ground/arakawaground.html,,,,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,"無",無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
131237,,東京都江戸川区,平井少年サッカー場,ヒライショウネンサッカージョウ,,,,,,,,東京都江戸川区平井七丁目,東京都,江戸川区,平井七丁目,地先,,,,,,(03)5662-1636,,,,,1320021,,江戸川区,月火水木金土日,06:00,18:00,月ごとに変更有,,,無,無,無,無,無,無,,無,,無,無,無,無,,無,,https://www.city.edogawa.tokyo.jp/e028/kuseijoho/gaiyo/shisetsuguide/bunya/sportsshisetsu/ground/arakawaground.html,,,,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,"無",無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
131237,,東京都江戸川区,小松川橋上流野球場,コマツガワバシジョウリュウヤキュウジョウ,,,,,,,,東京都江戸川区平井一丁目,東京都,江戸川区,平井一丁目,地先,,,,,,(03)5662-1636,,,,,1320021,,江戸川区,月火水木金土日,06:00,18:00,月ごとに変更有,,,無,無,無,無,無,無,,無,,無,無,無,無,,無,,https://www.city.edogawa.tokyo.jp/e028/kuseijoho/gaiyo/shisetsuguide/bunya/sportsshisetsu/ground/arakawaground.html,,,,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,"無",無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
131237,,東京都江戸川区,小松川少年野球場,コマツガワショウネンヤキュウジョウ,,,,,,,,東京都江戸川区平井一丁目,東京都,江戸川区,平井一丁目,地先,,,,,,(03)5662-1636,,,,,1320021,,江戸川区,月火水木金土日,06:00,18:00,月ごとに変更有,,,無,無,無,無,無,無,,無,,無,無,無,無,,無,,https://www.city.edogawa.tokyo.jp/e028/kuseijoho/gaiyo/shisetsuguide/bunya/sportsshisetsu/ground/arakawaground.html,,,,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,"無",無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
131237,,東京都江戸川区,小松川ソフトボール場,コマツガワソフトボールジョウ,,,,,,,,東京都江戸川区平井四丁目,東京都,江戸川区,平井四丁目,地先,,,,,,(03)5662-1636,,,,,1320021,,江戸川区,月火水木金土日,06:00,18:00,月ごとに変更有,,,無,無,無,無,無,無,,無,,無,無,無,無,,無,,https://www.city.edogawa.tokyo.jp/e028/kuseijoho/gaiyo/shisetsuguide/bunya/sportsshisetsu/ground/arakawaground.html,,,,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,"無",無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
